cluster,x.unit,tag_model,tag_serial_number,tag_sensor_type,tag_life,tagger,common_name,total_length_m,life_stage,sex,release_location,project,total_detections,days_at_liberty,days_monitored,days_detected,residency_max,residency_min,residency_ratio,residency_category,consecutive_days,highest_detection_month,artificial_reefs,n_reefs
1,teleost,V13AP-1x,1539779,Acc&Press,365,AN,Striped Bass,0.615,NA,U,Rockaway,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1x,1539780,Acc&Press,365,AN,Striped Bass,0.665,NA,U,Rockaway,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1x,1539782,Acc&Press,365,KD,Striped Bass,0.62,NA,U,Shinnecock Bay,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1x,1539783,Acc&Press,365,AN,Striped Bass,0.605,NA,U,Rockaway,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1x,1539784,Acc&Press,365,AN,Striped Bass,0.585,NA,U,Rockaway,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1539785,Acc&Press,365,AN,Striped Bass,0.642,NA,U,Jamaica Bay,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
2,teleost,V13AP-1X,1539786,Acc&Press,365,FL,Striped Bass,0.854,NA,U,Great South Bay,Southfork,12,3,-19,2,0.666666667,-0.105263158,-0.157894737,Transient,1,11,Fire Island,1
1,teleost,V13AP-1X,1539787,Acc&Press,365,FL,Striped Bass,0.518,NA,U,Great South Bay,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1539788,Acc&Press,365,Fl,Striped Bass,0.846,NA,U,NA,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1539789,Acc&Press,365,MF,Striped Bass,0.642,NA,U,NA,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1539790,Acc&Press,365,AN,Striped Bass,0.656,NA,U,Jamaica Bay,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
2,teleost,V13AP-1X,1539791,Acc&Press,365,FL,Striped Bass,0.848,NA,U,NA,Southfork,51,2,-19,2,1,-0.105263158,-0.105263158,Transient,2,11,Fire Island,1
